ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
REQUEST	93		Login	1591090566268	1591090566270	OK	 
USER	rendimiento09	131	START	1591090566273	1591090566273
REQUEST	91		Login	1591090565914	1591090566276	OK	 
REQUEST	89		Login	1591090565684	1591090566278	OK	 
REQUEST	1		New Notification	1591090565985	1591090566280	OK	 
REQUEST	122		Home	1591090565108	1591090566445	OK	 
REQUEST	2		New Notification	1591090565715	1591090566449	OK	 
REQUEST	90		Login	1591090565909	1591090566453	OK	 
REQUEST	94		Login	1591090566460	1591090566462	OK	 
USER	rendimiento09	132	START	1591090566464	1591090566464
REQUEST	132		Home	1591090566464	1591090566471	OK	 
REQUEST	95		Login	1591090566472	1591090566474	OK	 
USER	rendimiento09	133	START	1591090566477	1591090566477
REQUEST	133		Home	1591090566478	1591090566483	OK	 
REQUEST	4		List Notification	1591090564330	1591090566500	OK	 
REQUEST	3		New Notification	1591090566064	1591090566656	OK	 
